"Item","Origin","SpritePrompt"
"screwdriver","Real-world tool","Screwdriver single item icon, one object, centered, polished chrome screwdriver with glowing orange accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, chrome #E6E6E6, orange #FFA500. fasten tool aesthetic"
"wrench","Real-world tool","Wrench single item icon, one object, centered, polished gunmetal wrench with glowing steel accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, gunmetal #2E2E2E, steel #C0C0C0. mechanic tool aesthetic"
"hammer","Real-world tool","Hammer single item icon, one object, centered, polished steel hammer with glowing red accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, steel #C0C0C0, red #FF0000. general tool aesthetic"
"garden_fork","Real-world tool","Garden Fork single item icon, one object, centered, polished iron fork with glowing green accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, iron #ADB2BD, green #228B22. garden tool aesthetic"
"sai","Martial arts weapon","Sai single item icon, one object, centered, polished polished steel dagger with glowing crimson accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, polished steel #DCDCDC, crimson #DC143C. ninja weapon aesthetic"
"nunchaku","Martial arts weapon","Nunchaku single item icon, one object, centered, polished ebony martial weapon with glowing chain silver accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, ebony #3D2B1F, chain silver #C0C0C0. martial weapon aesthetic"
"trident","Mythic weapon","Trident single item icon, one object, centered, polished sea green spear with glowing gold accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, sea green #2E8B57, gold #FFD700. ocean spear aesthetic"
"dagger","Real-world weapon","Dagger single item icon, one object, centered, polished steel dagger with glowing blood crimson accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, steel #C0C0C0, blood crimson #8B0000. stealth knife aesthetic"
"dirk","Real-world weapon","Dirk single item icon, one object, centered, polished silver dagger with glowing navy accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, silver #C0C0C0, navy #000080. scottish knife aesthetic"
"wakizashi","Japanese weapon","Wakizashi single item icon, one object, centered, polished steel dagger with glowing indigo accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, steel #D4D4D4, indigo #4B0082. short sword aesthetic"
"yari_spear","Japanese weapon","Yari Spear single item icon, one object, centered, polished silver spear with glowing vermillion accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, silver #C0C0C0, vermillion #E34234. japanese spear aesthetic"
"zweihander","Medieval weapon","Zweihander single item icon, one object, centered, polished iron sword with glowing royal blue accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, iron #B0C4DE, royal blue #4169E1. great sword aesthetic"
"kopesh","Ancient Egyptian weapon","Kopesh single item icon, one object, centered, polished bronze sword with glowing turquoise accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, bronze #CD7F32, turquoise #40E0D0. crescent sword aesthetic"
"war_pick","Medieval weapon","War Pick single item icon, one object, centered, polished iron pickaxe with glowing rust brown accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, iron #A8A8A8, rust brown #8B4513. mining weapon aesthetic"
"hand_axe","Real-world tool","Hand Axe single item icon, one object, centered, polished steel axe with glowing oak accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, steel #C0C0C0, oak #8B4513. chopping axe aesthetic"
"pick_hammer","Real-world tool","Pick Hammer single item icon, one object, centered, polished irongrey pickaxe with glowing yellow accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, irongrey #909090, yellow #FFD700. geology tool aesthetic"
"ice_pick","Real-world tool","Ice Pick single item icon, one object, centered, polished chill blue pickaxe with glowing silver accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, chill blue #91A3B0, silver #C0C0C0. climb tool aesthetic"
"gauntlet_of_power","Fictional item","Gauntlet Of Power single item icon, one object, centered, polished dark_steel martial weapon with glowing glowing gems accents, engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, dark_steel #4A4A4A, glowing gems #FF69B4. arm weapon aesthetic"
"stormbreaker","Marvel","Stormbreaker single item icon, one object, centered, polished dull silver axe with glowing electric blue accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, dull silver #C0C0C0, electric blue #00BFFF. axe hammer aesthetic"
"blade_of_olympus","God of War","Blade Of Olympus single item icon, one object, centered, polished ivory sword with glowing gold accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, ivory #FFFFF0, gold #FFD700. titan blade aesthetic"
"photon_saber","Fictional science fiction","Photon Saber single item icon, one object, centered, polished radiant violet sword with glowing white accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, radiant violet #8A2BE2, white #FFFFFF. energy sword aesthetic"
"shadow_dagger","Fantasy weapon","Shadow Dagger single item icon, one object, centered, polished obsidian dagger with glowing violet accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, obsidian #0A0A0A, violet #9400D3. rogue dagger aesthetic"
"celestial_staff","Fantasy weapon","Celestial Staff single item icon, one object, centered, polished midnight blue staff with glowing star silver accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, midnight blue #191970, star silver #C0C0C0. arcane staff aesthetic"
"demon_scythe","Fantasy weapon","Demon Scythe single item icon, one object, centered, polished obsidian scythe with glowing hellfire red accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, obsidian #000000, hellfire red #FF4500. cursed scythe aesthetic"
"runed_battlehammer","Fantasy weapon","Runed Battlehammer single item icon, one object, centered, polished dark iron hammer with glowing glow rune cyan accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, dark iron #3E3E3E, glow rune cyan #00FFFF. dwarf hammer aesthetic"
"elven_longknife","Fantasy weapon","Elven Longknife single item icon, one object, centered, polished silverleaf dagger with glowing forest green accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, silverleaf #C0DABA, forest green #228B22. elven knife aesthetic"
"crystal_wand","Fantasy item","Crystal Wand single item icon, one object, centered, polished clear crystal wand with glowing aqua accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, clear crystal #E0FFFF, aqua #00FFFF. magic wand aesthetic"
"phoenix_feather_whip","Fantasy weapon","Phoenix Feather Whip single item icon, one object, centered, polished flame orange whip with glowing gold accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, flame orange #FF7F24, gold #FFD700. mythic whip aesthetic"
"nebula_pickaxe","Sci-fi tool","Nebula Pickaxe single item icon, one object, centered, polished space purple pickaxe with glowing star white accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, space purple #8A2BE2, star white #F0F8FF. cosmic tool aesthetic"
"obsidian_sickle","Fantasy tool","Obsidian Sickle single item icon, one object, centered, polished obsidian sickle with glowing magma red accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, obsidian #0B0B0B, magma red #FF4500. dark tool aesthetic"
"jade_katana","Fantasy weapon","Jade Katana single item icon, one object, centered, polished jade green sword with glowing gold accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, jade green #00A86B, gold #FFD700. ornate sword aesthetic"
"ruby_mace","Fantasy weapon","Ruby Mace single item icon, one object, centered, polished ruby red mace with glowing gold accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, ruby red #9B111E, gold #FFD700. gem mace aesthetic"
"sapphire_glaive","Fantasy weapon","Sapphire Glaive single item icon, one object, centered, polished sapphire blue spear with glowing silver accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, sapphire blue #0F52BA, silver #C0C0C0. gem glaive aesthetic"
"emerald_halberd","Fantasy weapon","Emerald Halberd single item icon, one object, centered, polished emerald green spear with glowing gold accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, emerald green #50C878, gold #FFD700. gem halberd aesthetic"
"dragonbone_spear","Fantasy weapon","Dragonbone Spear single item icon, one object, centered, polished bone white spear with glowing emerald accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, bone white #EEE8AA, emerald #50C878. dragon spear aesthetic"
"moonlight_greatsword","Dark Souls","Moonlight Greatsword single item icon, one object, centered, polished pale cyan sword with glowing lunar silver accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, pale cyan #E0FFFF, lunar silver #C0C0C0. arcane blade aesthetic"
"chaos_blade","Dark Souls","Chaos Blade single item icon, one object, centered, polished crimson sword with glowing ashen accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, crimson #B22222, ashen #696969. demon sword aesthetic"
"bloodied_cleaver","Horror media","Bloodied Cleaver single item icon, one object, centered, polished rusted iron dagger with glowing blood red accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, rusted iron #7E5E52, blood red #8A0707. horror cleaver aesthetic"
"silver_trident","Mythic weapon","Silver Trident single item icon, one object, centered, polished bright silver spear with glowing aqua accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, bright silver #C0C0C0, aqua #00FFFF. mythic trident aesthetic"
"charge_blade","Monster Hunter","Charge Blade single item icon, one object, centered, polished steel sword with glowing electric yellow accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, steel #C0C0C0, electric yellow #FFFF00. monster weapon aesthetic"
"switch_axe","Monster Hunter","Switch Axe single item icon, one object, centered, polished iron axe with glowing scarlet accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, iron #A8A8A8, scarlet #DC143C. monster weapon aesthetic"
"great_katana","Monster Hunter","Great Katana single item icon, one object, centered, polished dark steel sword with glowing crimson accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, dark steel #43464B, crimson #DC143C. monster blade aesthetic"
"power_pole","Dragon Ball","Power Pole single item icon, one object, centered, polished scarlet staff with glowing gold accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, scarlet #DC143C, gold #FFD700. extending staff aesthetic"
"staff_of_gandalf","Lord of the Rings","Staff Of Gandalf single item icon, one object, centered, polished ash grey staff with glowing silver accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, ash grey #B2BEB5, silver #C0C0C0. wizard staff aesthetic"
"glaive_of_artanis","StarCraft","Glaive Of Artanis single item icon, one object, centered, polished protoss gold spear with glowing neon_blue accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, protoss gold #FFD700, neon_blue #00BFFF. psi weapon aesthetic"
"atlantean_trident","DC Comics","Atlantean Trident single item icon, one object, centered, polished sea gold spear with glowing aqua accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, sea gold #FFD700, aqua #00CED1. ocean trident aesthetic"
"witcher_silver_sword","The Witcher","Witcher Silver Sword single item icon, one object, centered, polished silver sword with glowing wolf_black accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, silver #C0C0C0, wolf_black #1C1C1C. monster sword aesthetic"
"wabbajack_staff","The Elder Scrolls","Wabbajack Staff single item icon, one object, centered, polished chaotic bronze staff with glowing psychedelic purple accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, chaotic bronze #CD7F32, psychedelic purple #800080. mad staff aesthetic"
"blades_of_chaos","God of War","Blades Of Chaos single item icon, one object, centered, polished burnt steel axe with glowing fiery orange accents, engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, burnt steel #6B6B6B, fiery orange #FF8C00. chain blades aesthetic"
"energy_lance","Science fiction","Energy Lance single item icon, one object, centered, polished electric blue spear with glowing chrome accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, electric blue #1E90FF, chrome #B0C4DE. sci-fi lance aesthetic"
"thunderfury","World of Warcraft","Thunderfury single item icon, one object, centered, polished storm silver sword with glowing lightning blue accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, storm silver #C0C0C0, lightning blue #00BFFF. elemental blade aesthetic"
"infinity_katana","Fictional weapon","Infinity Katana single item icon, one object, centered, polished cosmic black sword with glowing rainbow accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, cosmic black #0B0B0B, rainbow #FF69B4. eternal sword aesthetic"
"meteor_pick","Fantasy tool","Meteor Pick single item icon, one object, centered, polished meteor grey pickaxe with glowing lava orange accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, meteor grey #7F7F7F, lava orange #FF4500. forge pick aesthetic"
"rock_hammer","Real-world tool","Rock Hammer single item icon, one object, centered, polished granite grey hammer with glowing orange accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, granite grey #828282, orange #FFA500. geo hammer aesthetic"
"blacksmith_hammer","Real-world tool","Blacksmith Hammer single item icon, one object, centered, polished steel grey hammer with glowing cedar brown accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, steel grey #9EA0A1, cedar brown #8B4513. forge hammer aesthetic"
"bamboo_spear","Real-world weapon","Bamboo Spear single item icon, one object, centered, polished bamboo green spear with glowing tan accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, bamboo green #8FBC8F, tan #D2B48C. simple spear aesthetic"
"glaive_of_krull","Krull","Glaive Of Krull single item icon, one object, centered, polished aged bronze spear with glowing deep teal accents, engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, aged bronze #B08D57, deep teal #008080. film weapon aesthetic"
"lunar_war_fan","Fantasy weapon","Lunar War Fan single item icon, one object, centered, polished moon white fan with glowing silver accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, moon white #F8F8FF, silver #C0C0C0. bladed fan aesthetic"
"spectral_scimitar","Fantasy weapon","Spectral Scimitar single item icon, one object, centered, polished spectral cyan sword with glowing shadow purple accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, spectral cyan #00FFFF, shadow purple #301934. spirit sword aesthetic"
"ancient_boomerang","The Legend of Zelda","Ancient Boomerang single item icon, one object, centered, polished rust brown fan with glowing sky blue accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, rust brown #8B4513, sky blue #87CEEB. throwing boomerang aesthetic"
