Item,Origin,SpritePrompt
sickle,Agricultural Tool,"sickle single item icon, one object, centered, transparent background, small curved steel blade with sharp edge attached to a wooden handle, rustic farming tool feel, simple construction with worn wood grain, earthy palette, old world charm, rendered as finely shaded pixel art with subtle detail, grain specks cling to the handle"
scythe,Real World,"scythe single item icon, one object, centered, transparent background, long wooden shaft topped with long curved steel blade, grim reaper association, sweeping arc, agricultural heritage and gothic symbolism, dark yet elegant, richly detailed pixel art capturing the graceful deadly curve, weathered wood grain and ancient patina"
saber,Real World,"saber single item icon, one object, centered, transparent background, slightly curved cavalry sword with ornate brass guard and slender steel blade, martial nobility vibe, polished finish, leather wrapped grip, dynamic flourish, crisp pixel art style with warm tones and refined highlights, sparkling filigree patterns twirl"
mace,Medieval Weapon,"mace single item icon, one object, centered, transparent background, heavy metal club with flanged head and short haft, brutal bludgeoning weapon, dark iron sheen and rugged texture, medieval battlefield feel, sturdy grip, pixel art rendering with bold contrast and imposing silhouette, finely wrought flanges and gleaming studs"
flail,Medieval Weapon,"flail single item icon, one object, centered, transparent background, wooden handle linked by chain to a spiked iron ball, unpredictable motion weapon, menacing medieval design, rugged materials, dark metallic tones, dynamic pose, beautifully shaded pixel art capturing chain links and spikes, spikes and chain links glint"
morning_star,Medieval Weapon,"morning star single item icon, one object, centered, transparent background, heavy club like weapon with large spiked orb affixed to a wooden haft, multiple spiky protrusions shimmer with menace, brutal medieval design, star shaped spikes catch light, worn leather grip, fearsome silhouette, detailed pixel art with polished highlights and dark shading"
shovel,Real World,"shovel single item icon, one object, centered, transparent background, steel scoop blade attached to long wooden handle with D grip, utilitarian design for digging, earthy brown and metallic grey colors, practical gardening tool vibe, retro pixel art style with subtle highlights and gentle texture, soil specks cling to scoop"
hoe,Real World,"hoe single item icon, one object, centered, transparent background, flat rectangular metal blade secured to a smooth wooden shaft, agricultural implement used for tilling soil, simple form, natural wood grain, muted colors, rustic feel, carefully shaded pixel art capturing honest tool character, old iron plating bears hammered ridges and faint rust spots"
rake,Real World,"rake single item icon, one object, centered, transparent background, long wooden handle attached to a fan of metal tines, used for gathering leaves and hay, utilitarian gardening tool, simple construction, rustic charm, earthy palette, clear pixel art with fine lines and subtle shading, dirt stains and straw bits cling along the tines from fieldwork"
trowel,Real World,"trowel single item icon, one object, centered, transparent background, small triangular steel blade with pointed tip and short wooden handle, used for planting and masonry, compact and handy, silver and brown tones, realistic yet charming pixel art style with clear contours and subtle highlights, soil flecks remain on the blade and handle from use"
mallet,Real World,"mallet single item icon, one object, centered, transparent background, cylindrical wooden hammer head attached to sturdy handle, a leather strap near the grip suggests it can be hung when idle, used by carpenters, smooth polished wood grain, leather grip, simple design, rendered in classic pixel art style with natural warm colors and delicate shading"
sledgehammer,Real World,"sledgehammer single item icon, one object, centered, transparent background, massive steel head on a long wooden handle, the head bears texture of stone chips and scratches from hard strikes, used for demolition, heavy duty feel, dark metal gleam and weathered wood, functional design, depicted in rugged pixel art with pronounced shading and sturdy proportions"
crowbar,Real World,"crowbar single item icon, one object, centered, transparent background, curved iron pry bar with flattened ends and red painted shaft, utilitarian demolition tool, sleek yet rugged, worn paint chips, industrial atmosphere, crisp pixel art style with strong lines and high contrast highlights, scratches and rust on curved ends"
wrench,Real World,"wrench single item icon, one object, centered, transparent background, adjustable steel wrench with smooth jaw mechanism and knurled handle, machined grooves run along the handle, shiny metal finish, versatile mechanical tool, modern industrial feel, rendered in neat pixel art with crisp lines and reflective highlights"
screwdriver,Real World,"screwdriver single item icon, one object, centered, transparent background, steel shaft with Phillips head tip and comfortable rubber handle, tiny cross pattern at the tip glints under light, essential tool, simple utilitarian design, two tone color scheme, modern vibe, rendered in clean pixel art with neat proportions and subtle shading"
pliers,Real World,"pliers single item icon, one object, centered, transparent background, steel jaws with pivot joint and rubber coated grips, springs near the fulcrum provide tension, versatile hand tool, functional design, industrial feel, simple yet effective, balanced composition, rendered in crisp pixel art with careful shading and highlights"
chisel,Real World,"chisel single item icon, one object, centered, transparent background, metal blade with beveled cutting edge and wooden handle, woodgrain handle shows years of use, used by craftsmen for carving, utilitarian design, textured wood grain, metallic sheen, depicted in clean pixel art with soft shading and elegant form"
saw,Real World,"saw single item icon, one object, centered, transparent background, hand saw with serrated steel blade and wooden handle, rusty spots near the jagged teeth tell stories of repeated use, carpentry tool, balanced proportion, natural wood tones and metal gleam, practical design, rendered in neat pixel art with crisp lines and light shading"
chainsaw,Real World,"chainsaw single item icon, one object, centered, transparent background, portable saw with toothed chain wrapped around guide bar, bright orange housing and ergonomic handle, metallic chain links slick with oil glisten along the guide bar, powerful machine, rugged outdoor vibe, depicted in detailed pixel art with dynamic shading and slight motion blur"
torch,Real World,"torch single item icon, one object, centered, transparent background, wooden handle topped with burning cloth soaked in oil, flames flicker brightly and wood burning at the end exudes a soft glow and crackling ember sparks, primitive light source, warm glow, rustic feel, medieval and survival vibe, rendered in pixel art with glowing highlights and gentle shading"
lantern,Real World,"lantern single item icon, one object, centered, transparent background, metal frame with glass panes housing a flickering candle, iron cage encloses the flame and protects it from wind, hanging loop on top, warm light, rustic charm, pioneer feel, carefully constructed pixel art with ambient glow and soft reflections"
umbrella,Real World,"umbrella single item icon, one object, centered, transparent background, closed umbrella with curved handle and fabric canopy folded neatly, raindrops bead on the fabric folds adding texture, simple everyday tool, elegant design, rain protection symbol, smooth curves, rendered in neat pixel art with crisp lines and subtle highlights"
scimitar,Middle Eastern/South Asian,"scimitar single item icon, one object, centered, transparent background, elegantly curved single edged sword with convex blade and decorated hilt, associated with Middle Eastern and South Asian cultures, ornate and exotic appearance, polished steel, subtle arabesque engravings adorn the spine and hilt, delicate pixel art with careful shading"
zweihander,German,"zweihander single item icon, one object, centered, transparent background, massive two handed sword with long straight blade and flared ricasso, leather wrapped grip and elongated crossguard, imposing knightly weapon, gothic style, gentle ornamentation etched into the guard adds refinement, rendered in moody pixel art with strong shading and depth"
gladius,Roman,"gladius single item icon, one object, centered, transparent background, short double edged Roman sword with straight blade and distinctive rounded guard, Latin engravings run along its blade honoring Roman legions, military precision, bronze and steel combination, ancient legion weapon, rendered in realistic pixel art with crisp lines and subtle shading"
falcata,Iberian,"falcata single item icon, one object, centered, transparent background, single edged inward curving blade with ornate handle and intricate carvings, bronze inlay near the hilt, ancient Iberian weapon, unique silhouette, bronze tones, cultural heritage, beautifully rendered pixel art with elegant lines and soft highlights"
claymore,Scottish,"claymore single item icon, one object, centered, transparent background, large Scottish two handed sword with broad straight blade and distinctive cross guard, brass pommel and leather wrapped grip, rugged Highland warrior feel, historical fantasy vibe, rendered in pixel art with strong lines and balanced shading"
naginata,Japanese,"naginata single item icon, one object, centered, transparent background, pole weapon with long curved single edged blade affixed to wooden shaft, ring and tassel accent the mount, traditional martial art weapon, graceful sweep and balance, rendered in smooth pixel art with elegant curves and shading"
yari,Japanese,"yari single item icon, one object, centered, transparent background, straight thrusting spear with steel spearhead mounted on a smooth wooden shaft, tassels hang near the spearhead, minimalist guard, samurai infantry weapon, traditional craftsmanship, refined and balanced, beautifully shaded pixel art with subtle texture"
dagger,Real World,"dagger single item icon, one object, centered, transparent background, small double edged blade with simple guard and wooden handle, silver etched patterns on the guard and blade catch light, close combat weapon, practical and versatile, understated design, depicted in balanced pixel art with clean lines and subtle highlights"
dirk,Scottish,"dirk single item icon, one object, centered, transparent background, long slender dagger with decorative carved hilt featuring Celtic knot patterns, sharp tapering blade, traditional Scottish sidearm, cultural heritage vibe, earthy browns and silvers, pixel art with intricate handle detail, Celtic knotwork carved on handle"
stiletto,Italian,"stiletto single item icon, one object, centered, transparent background, narrow triangular blade with round guard and slender grip, elegant and discreet, Renaissance assassin’s weapon, polished steel and dark wood, graceful proportions, precise pixel art capturing sleekness and subtle shadow, grip adorned with filigree"
kris_blade,Southeast Asia,"kris blade single item icon, one object, centered, transparent background, undulating wavy dagger with distinctive serpentine edge, ornate hilt carved with mythic patterns, cultural Indonesian artistry, mystical aura, rich dark wood and steel tones, detailed pixel art with rhythmic ripples, serpentine pattern along the blade"
kukri,Gurkha,"kukri single item icon, one object, centered, transparent background, inward curved knife with heavy blade and wooden handle, traditional Nepalese weapon and tool, distinctive forward weight, robust and utilitarian design, depicted in bold pixel art with strong silhouettes and subtle gradients"
machete,Real World,"machete single item icon, one object, centered, transparent background, broad bladed cutting tool with simple handle, vine pattern etched along the blade, used for clearing vegetation, utilitarian design, slightly worn edge, rugged outdoor vibe, earthy colors, depicted in pixel art with balanced composition and natural shading"
hatchet,Real World,"hatchet single item icon, one object, centered, transparent background, small single bladed axe with wooden handle and steel head, leather thong wraps around the handle for secure grip, camping and survival tool, compact design, simple and sturdy, depicted in rustic pixel art with natural hues and strong shading"
tomahawk,Native American,"tomahawk single item icon, one object, centered, transparent background, light axe with thin blade and wooden handle, decorative beadwork and carved symbols adorn the wooden handle, used by Native American tribes and frontiersmen, versatile tool and weapon, rendered in respectful pixel art with warm colors and clean lines"
bo_staff,Martial Arts,"bo staff single item icon, one object, centered, transparent background, long wooden staff with smooth polished surface and slightly tapered ends, subtle red markings and lacquer finish decorate its midsection, martial arts weapon, simple yet versatile, balanced and symmetrical, rendered in elegant pixel art with soft gradients and realistic texture"
quarterstaff,Medieval Europe,"quarterstaff single item icon, one object, centered, transparent background, long hardwood pole with metal caps at both ends, iron caps bear etchings, used for self defense and training, simple design, rustic charm, balanced proportions, rendered in faithful pixel art with realistic texture and gentle shading"
jitte,Japanese,"jitte single item icon, one object, centered, transparent background, single pronged baton with hook near hilt, polished steel shines with authority and fine lacquered handle, used by Edo police, simple iron tool, functional design, depicted in understated pixel art with clear lines and soft shading"
tonfa,Japanese,"tonfa single item icon, one object, centered, transparent background, L shaped wooden baton with perpendicular handle, dark lacquer finish with visible wood grain adds understated elegance, used in martial arts, simple design, smooth finish and curved edges, balanced and symmetrical, rendered in subtle pixel art with natural colors and gentle shading"
sai,Japanese,"sai single item icon, one object, centered, transparent background, three pronged metal dagger with central blade and symmetric side tines, long handle wrapped with cord, ninja and police weapon heritage, silver gleam and dark grip, elegant yet lethal, refined pixel art with sharp lines and highlights"
nunchaku,Martial Arts,"nunchaku single item icon, one object, centered, transparent background, pair of short wooden sticks connected by metal chain, smooth lacquered surfaces, dynamic martial arts weapon, rhythmic movement implied, minimalist design, captured in detailed pixel art with natural wood tones and metallic glint"
scepter,Royal Symbol,"scepter single item icon, one object, centered, transparent background, slender golden rod topped with faceted gem and ornate filigree, emblem of monarchy and authority, regal aesthetic, shimmering metallic finish, ceremonial aura, brilliantly rendered pixel art with luxurious highlights and intricate detailing"
tessen_fan,Japanese,"tessen fan single item icon, one object, centered, transparent background, folding war fan with iron spines and silk panels, subtle floral patterns and dark lacquered guards, disguised weapon of samurai, graceful yet deadly, elegant movement implied, high quality pixel art with delicate gradients, delicate lacquered design adorns the hinge and ribs"
ball_and_chain,Medieval Weapon,"ball and chain single item icon, one object, centered, transparent background, heavy iron ball connected by chain to short wooden handle, brutal weighty weapon, dark metallic patina, rugged construction, menacing medieval vibe, dynamic hanging chain rendered in expressive pixel art with deep shadows"
longbow,Real World,"longbow single item icon, one object, centered, transparent background, tall wooden bow with graceful arc and taut string, crafted from yew with leather grip, archer’s elegant weapon, historical hunting and warfare vibe, natural wood hues, beautifully composed pixel art with subtle shading and curve"
recurve_bow,Real World,"recurve bow single item icon, one object, centered, transparent background, bow with limbs that curve away at the ends, laminated wood and horn details, taut string, smooth ergonomic handle, sleek archery feel, modern yet traditional, portrayed in refined pixel art with gentle gradients and precise lines"
shortbow,Real World,"shortbow single item icon, one object, centered, transparent background, compact bow with simple curved limbs and sinew string, lightweight and versatile, hunting weapon of old, understated design with leather grip, earthy colors, depicted in clear pixel art with minimalist elegance and warm tones, simple carved nocking point"
tessaiga,InuYasha,"tessaiga single item icon, one object, centered, transparent background, enormous fang shaped sword with rough bone like blade and fur wrapped hilt, transforms from rusty katana to mighty demon slayer, mythical aura, anime fantasy style, expressive pixel art capturing texture and wild energy, faint demonic aura swirls"
zangetsu,Bleach,"zangetsu single item icon, one object, centered, transparent background, oversized cleaver like sword with black blade and white cloth wrapped hilt, minimal guard, serious shinigami weapon, stark contrast, hollow influence, moody anime vibe, detailed pixel art emphasizing stark shapes and spiritual aura"
soul_reaver,Legacy of Kain,"soul reaver single item icon, one object, centered, transparent background, ethereal translucent blade in ghostly blue hues with twisting organic form, ornate bone hilt, vampiric wraith weapon radiating energy, mystical gothic atmosphere, highly detailed pixel art with glowing edges and spectral effects"
frostmourne,World of Warcraft,"frostmourne single item icon, one object, centered, transparent background, sinister runeblade with jagged icy blade and skull adorned crossguard, frosty blue aura, cursed Lich King weapon, dark fantasy energy, chilling aura, rendered in vivid pixel art with intricate runes and cold highlights, frost crystals adorn the edges"
ashbringer,World of Warcraft,"ashbringer single item icon, one object, centered, transparent background, legendary holy sword with broad blade etched with runes, golden guard and crystal in pommel, radiating light and ash, righteous Paladin weapon, divine aura, presented in crisp pixel art with warm glow and detailed inscriptions"
glaive,Real World,"glaive single item icon, one object, centered, transparent background, pole weapon with single edged blade mounted on long shaft, medieval foot soldier armament, balanced proportions, steel blade and wooden handle, practical yet imposing, captured in neat pixel art with strong lines and shading, floral engraving near the blade"
guandao,Chinese,"guandao single item icon, one object, centered, transparent background, broad leaf shaped blade on a long pole adorned with red tassel, intricate dragon motifs, general Guan Yu’s weapon, Chinese martial tradition, graceful sweep, vibrant pixel art rendering with ornate decorations and rich color, coin weight at the butt end"
nagamaki,Japanese,"nagamaki single item icon, one object, centered, transparent background, long handled sword with extended grip and moderately curved blade, blending polearm and katana qualities, wrapped with silk cord, feudal Japan aura, balanced elegance, rendered in precise pixel art with smooth gradient and form"
kusanagi_sword,Japanese Myth,"kusanagi sword single item icon, one object, centered, transparent background, straight double edged blade with mirror like polish and subtle wave motif, royal mythological weapon, simple guard and dark handle, ancient shrine aura, mystical power suggested, detailed pixel art with serene glow, legendary serpent‑slaying aura"
sun_wukong_staff,Chinese Myth,"sun wukong staff single item icon, one object, centered, transparent background, golden red staff that can expand or shrink, banded ends and cloud motifs, legendary Monkey King weapon, mischievous divine power, dynamic energy, captured in lively pixel art with shimmering highlights and playful flair"
anchor,Real World,"anchor single item icon, one object, centered, transparent background, heavy iron anchor with curved flukes and ring for rope, marine and nautical feel, weathered rust and patina, symbol of stability and depth, depicted in expressive pixel art with strong silhouette and textured metallic surface, seaweed strands cling to its"
fishing_rod,Real World,"fishing rod single item icon, one object, centered, transparent background, long flexible rod with cork grip, mounted reel and thin line, subtle metal guides along the shaft, peaceful angling vibe, outdoor leisure feel, rendered in clean pixel art with natural colors and delicate line details, thin thread with tiny hook glints"
broom,Real World,"broom single item icon, one object, centered, transparent background, bundle of straw bristles bound to long wooden handle, simple household tool, rustic and homely feel, warm brown hues, slight irregularity of straw tips, charming pixel art sprite with soft texture and subtle shading, loose straw ends with uneven edges"
javelin,Real World,"javelin single item icon, one object, centered, transparent background, long slender throwing spear with pointed steel tip and streamlined wooden shaft, sport and warfare heritage, elegant aerodynamic shape, leather grip, classical Olympic vibe, depicted in refined pixel art with smooth lines and highlights"
pitchfork,Real World,"pitchfork single item icon, one object, centered, transparent background, long wooden handle terminating in three sharp metal prongs, agricultural implement associated with hay and straw, rustic countryside atmosphere, sturdy and simple design, detailed pixel art with earthy tones and subtle texture"
slingshot,Real World,"slingshot single item icon, one object, centered, transparent background, Y shaped wooden frame with leather pouch connected by elastic bands, playful yet practical projectile launcher, rustic handmade feel, childhood mischief vibe, crisp pixel art capturing curves and taut bands with lively shading"
whip,Real World,"whip single item icon, one object, centered, transparent background, long braided leather cord coiled neatly with rigid handle bound in leather, equestrian and adventurer tool, dynamic flowing form, rich brown tones, subtle highlights, presented as detailed pixel art with sense of motion and tactile texture"
baton,Real World,"baton single item icon, one object, centered, transparent background, straight cylindrical stick made of hardened polymer or wood with textured grip, law enforcement and self defense tool, simple yet sturdy design, sober dark color, carefully shaded pixel art with clean lines and balanced composition"
mace_of_molag_bal,The Elder Scrolls,"mace of molag bal single item icon, one object, centered, transparent background, dark and jagged daedric mace with sinister spikes and skull motif, obsidian like metal, eerie green glow seeping from crevices, dread elder scrolls artifact, ominous fantasy vibe, intricately rendered pixel art with shadowy highlights"
sandai_kitetsu,One Piece,"sandai kitetsu single item icon, one object, centered, transparent background, slender cursed katana with distinctive purple patterned blade and white wrapped handle, simple round guard, aura of misfortune, anime pirate world flair, dangerous allure, finely crafted pixel art with clear hamon and vibrant accents"
muramasa_blade,Japanese Myth,"muramasa blade single item icon, one object, centered, transparent background, blood red katana with slightly curved edge and darkened spine, eerie cursed aura, demonic forging legend, simple black wrapped grip, ominous vibe, detailed pixel art capturing sinister glow and subtle wave patterns, crimson aura lingers at its edge"
dagger_of_time,Prince of Persia,"dagger of time single item icon, one object, centered, transparent background, ornate curved dagger with golden hilt housing glowing sand filled gem, serrated back edge, mystical time control artifact, Persian inspired filigree, luminous aura, rendered in vibrant pixel art with intricate details and warm glow"
leviathan_axe,God of War,"leviathan axe single item icon, one object, centered, transparent background, imposing double bladed axe with frost covered steel heads engraved with runes, sturdy wooden haft wrapped in leather, Norse craftsmanship, primal power, icy blue aura, detailed pixel art with crisp runes and frosty highlights"
chains_of_chaos,God of War,"chains of chaos single item icon, one object, centered, transparent background, pair of curved blades attached to long metal chains, fiery orange edge and dark worn handles, iconic demigod weapon, molten energy swirling, dramatic motion implied, exquisitely detailed pixel art with bright sparks and dynamic chains"
valyrian_dagger,Game of Thrones,"valyrian dagger single item icon, one object, centered, transparent background, sleek dagger forged from rippled dark valyrian steel with ornate dragonbone hilt, subtle curved guard, legendary assassin weapon, noble Westerosi aura, ancient magic imbued, rendered in rich pixel art with fluid sheen and fine details, rippled steel"
staff_of_ra,Indiana Jones,"staff of ra single item icon, one object, centered, transparent background, tall wooden staff with golden headpiece inlaid with round crystal and sun disc motif, ancient Egyptian relic, weathered wood shaft, desert archaeology vibe, mystical glow, depicted in detailed pixel art with warm gold highlights and carved patterns"
fire_poker,Real World,"fire poker single item icon, one object, centered, transparent background, long iron rod with pointed tip and coiled handle, used for tending hearth fires, rustic hearthside tool, dark metal tones with slight soot, simple utilitarian design, rendered in clean pixel art with soft shadows and metallic texture, smoke from its tip"
